period,series-description,value,units,state
2019,Arizona Natural Gas International Deliveries to Mexico (MMcf),124243.0,MMCF,AZ-MX
2019,California Natural Gas International Deliveries to Mexico (MMcf),145107.0,MMCF,CA-MX
2019,Idaho Natural Gas International Deliveries to Canada (Million Cubic Feet),0.0,MMCF,ID-BC
2019,Maine Natural Gas International Deliveries to Canada (Million Cubic Feet),90299.0,MMCF,ME-NB
2019,Michigan Natural Gas International Deliveries to Canada (MMcf),768025.0,MMCF,MI-ON
2019,Minnesota Natural Gas International Deliveries to Canada (Million Cubic Feet),13668.0,MMCF,MN-MB
2019,Montana Natural Gas International Deliveries to Canada (MMcf),1.0,MMCF,MT-SK
2019,North Dakota Natural Gas International Deliveries to Canada (Million Cubic Feet),488.0,MMCF,ND-SK
2019,New Hampshire Natural Gas International Deliveries to Canada (Million Cubic Feet),1992.0,MMCF,NH-QC
2019,New York Natural Gas International Deliveries to Canada (Million Cubic Feet),276594.0,MMCF,NY-ON
2019,Texas Natural Gas International Deliveries to Mexico (MMcf),1638476.0,MMCF,TX-MX
2019,Vermont Natural Gas International Deliveries to Canada (Million Cubic Feet),0.0,MMCF,VT-QC
2019,Washington Natural Gas International Deliveries to Canada (Million Cubic Feet),22870.0,MMCF,WA-BC
