year,state,sector,co2_limit_mmt
2030,all,all,2989.30
2030,AL,all,71.8
2030,AZ,all,48.6
2030,AR,all,30.1
2030,CA,all,194.4
2030,CO,all,47.7
2030,CT,all,21.9
2030,DE,all,8.7
2030,DC,all,2
2030,FL,all,130
2030,GA,all,92.8
2030,ID,all,7.9
2030,IL,all,121.8
2030,IN,all,119
2030,IA,all,39.2
2030,KS,all,36.5
2030,KY,all,77.9
2030,LA,all,100.6
2030,ME,all,11.5
2030,MD,all,42.4
2030,MA,all,42.2
2030,MI,all,94.9
2030,MN,all,50.9
2030,MS,all,32
2030,MO,all,72.1
2030,MT,all,17.9
2030,NE,all,21.9
2030,NV,all,25.1
2030,NH,all,10.6
2030,NJ,all,65.2
2030,NM,all,29.7
2030,NY,all,105.6
2030,NC,all,77.1
2030,ND,all,26.4
2030,OH,all,135.9
2030,OK,all,53.2
2030,OR,all,20.5
2030,PA,all,140.7
2030,RI,all,5.6
2030,SC,all,44.2
2030,SD,all,6.6
2030,TN,all,64
2030,TX,all,321.8
2030,UT,all,33.7
2030,VT,all,3.4
2030,VA,all,64.7
2030,WA,all,39.4
2030,WV,all,57.3
2030,WI,all,55.4
2030,WY,all,31.8
